TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold,cohort,rule
103,0,12,4,0.8991596638655462,0.25,1.0,1.0,0.4,0.625,0.6724770642201835,0.8592233009708737,0.6354622259337643,CNN(untrained)+clinical+RF,8,complete-case,@0.5
103,0,13,3,0.8907563025210085,0.1875,1.0,1.0,0.3157894736842105,0.59375,0.6282143715453017,0.8592233009708737,0.6354622259337643,CNN(untrained)+clinical+RF,8,complete-case,@tuned
102,1,12,4,0.8907563025210085,0.25,0.9902912621359223,0.8,0.38095238095238093,0.6201456310679612,0.6605222734254992,0.8467839805825244,0.584087943167448,CNN+BiLSTM(untrained)+clinical+RF [as published],8,complete-case,@0.5
103,0,13,3,0.8907563025210085,0.1875,1.0,1.0,0.3157894736842105,0.59375,0.6282143715453017,0.8467839805825244,0.584087943167448,CNN+BiLSTM(untrained)+clinical+RF [as published],8,complete-case,@tuned
103,0,11,5,0.907563025210084,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7127496159754225,0.8877427184466019,0.7285836093110458,CNN(trained)+clinical+RF,8,complete-case,@0.5
103,0,12,4,0.8991596638655462,0.25,1.0,1.0,0.4,0.625,0.6724770642201835,0.8877427184466019,0.7285836093110458,CNN(trained)+clinical+RF,8,complete-case,@tuned
103,0,11,5,0.907563025210084,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7127496159754225,0.8225121359223302,0.5920989429893662,CNN+BiLSTM(trained)+clinical+RF [proposed],8,complete-case,@0.5
103,0,12,4,0.8991596638655462,0.25,1.0,1.0,0.4,0.625,0.6724770642201835,0.8225121359223302,0.5920989429893662,CNN+BiLSTM(trained)+clinical+RF [proposed],8,complete-case,@tuned
102,1,6,10,0.9411764705882353,0.625,0.9902912621359223,0.9090909090909091,0.7407407407407406,0.8076456310679612,0.8537826926452519,0.9032160194174758,0.6773659516439817,RF on clinical features only [baseline],9,complete-case,@0.5
102,1,12,4,0.8907563025210085,0.25,0.9902912621359223,0.8,0.38095238095238093,0.6201456310679612,0.6605222734254992,0.9032160194174758,0.6773659516439817,RF on clinical features only [baseline],9,complete-case,@tuned
